id,answer,photo
1,Conthentrate and athk again later.,Lily_birthday.jpg
2,Better not tell you now.,Lily_birthday.jpg
3,"Reply hazy, try again.",Lily_birthday.jpg
4,Cannot predict now.,Lily_birthday.jpg
5,Without a doubt!,Lily_Yes.JPG
6,You may rely on it.,Lily_Yes.JPG
7,It is certain.,Lily_Yes.JPG
8,Yes definitely.,Lily_Yes.JPG
9,Chicken – that's my favorite.,Lily_standing.JPG
10,You know the answer. Look deep inside yourself.,Lily_Fin.jpg
11,Outlook not so good.,Lily_Fin.jpg
12,Very doubtful.,Lily_Fin.jpg
13,My sources say no,GroupPhoto.jpg
